Date,Rank,Streams,Singer,Song Title,feat,Extras,Christmas
2019-10-31,1,"647,983",Tones And I,Dance Monkey,,,N
2019-10-31,2,"368,593",Regard,Ride It,,,N
2019-10-31,3,"339,038",Post Malone,Circles,,,N
2019-10-31,4,"317,982",Kanye West,Follow God,,,N
2019-10-31,5,"307,398",Selena Gomez,Lose You To Love Me,,,N
2019-10-31,6,"300,322",Ed Sheeran,South Of The Border,Feat. Camila Cabello & Cardi B,,N
2019-10-31,7,"287,873",Lewis Capaldi,Someone You Loved,,,N
2019-10-31,8,"273,820",Travis Scott,Highest In The Room,,,N
2019-10-31,9,"254,068",Maroon 5,Memories,,,N
2019-10-31,10,"248,019",Aitch,Buss Down,Feat. Ziezie,,N
2019-10-31,11,"241,956",Harry Styles,Lights Up,,,N
2019-10-31,12,"239,119","Jorja Smith, Burna Boy",Be Honest,,,N
2019-10-31,13,"237,630",Joel Corry,Sorry,,,N
2019-10-31,14,"233,208",Aitch,Taste,Make It Shake,,N
2019-10-31,15,"231,622",Blackbear,Hot Girl Bummer,,,N
2019-10-31,16,"226,979",Aj Tracey,Ladbroke Grove,,,N
2019-10-31,17,"218,968",Dermot Kennedy,Outnumbered,,,N
2019-10-31,18,"214,889","Riton, Oliver Heldens",Turn Me On,Feat. Vula,,N
2019-10-31,19,"213,823",Young T Bugsey,Strike A Pose,Feat. Aitch,,N
2019-10-31,20,"206,779",Billie Eilish,Bad Guy,,,N
2019-10-31,21,"206,264","Meduza, Becky Hill, Goodboys",Lose Control,,,N
2019-10-31,22,"203,496",Dave,Professor X,,,N
2019-10-31,23,"202,373",Lizzo,Good As Hell,Feat. Ariana Grande,- Remix,N
2019-10-31,24,"202,333",Dominic Fike,3 Nights,,,N
2019-10-31,25,"199,858","Kygo, Whitney Houston",Higher Love,,,N
2019-10-31,26,"193,504",Lewis Capaldi,Bruises,,,N
2019-10-31,27,"192,977","Bob&Quot;Boris&Quot; Pickett, The Crypt-kickers",Monster Mash,,,N
2019-10-31,28,"189,003",Sam Smith,How Do You Sleep?,,,N
2019-10-31,29,"188,586",Ray Parker Jr.,Ghostbusters,,,N
2019-10-31,30,"183,570","Shawn Mendes, Camila Cabello",Se&Ntilde;Orita,,,N
2019-10-31,31,"181,157",Ed Sheeran,Beautiful People,Feat. Khalid,,N
2019-10-31,32,"180,265",Camila Cabello,Liar,,,N
2019-10-31,33,"178,867",Sam Feldt,Post Malone,Feat. Rani,,N
2019-10-31,34,"174,872",Niall Horan,Nice To Meet Ya,,,N
2019-10-31,35,"170,793",Michael Jackson,Thriller,,,N
2019-10-31,36,"158,124",Lil Tecca,Ransom,,,N
2019-10-31,37,"153,840",Selena Gomez,Look At Her Now,,,N
2019-10-31,38,"153,181",Ti&Euml;Sto,God Is A Dancer,With Mabel,,N
2019-10-31,39,"152,252",Dave,Location,Feat. Burna Boy,,N
2019-10-31,40,"149,984",Lizzo,Truth Hurts,,,N
2019-10-31,41,"149,072",Headie One,Both,,,N
